english,nepali
"Energetically lip-syncing and dancing, touching his chest with his hand and pointing towards the mountain",उर्जावान रूपमा लिप-सिङ्क र नृत्य गर्दै आफ्नो हातले छातीमा छुने र पहाडतिर इसारा गर्दै
Euta bike,एउटा बाइक
Euta mahila ra euta purush.,एउटी महिला र एउटा पुरुष।
Everyone gathered in the field for some program or festival.,चौरमा कुनै कार्यक्रम वा उत्सवको लागि सबै जना जम्मा भएको
"Everyone is enjoying themselves in the middle of the alley, dancing with full energy.","गल्लीको बीचमा सबैजना रमाइलो मान्दै, पूर्ण ऊर्जाका साथ नृत्य गरिरहेका छन्।"
Floor / Ground,भुइँ
Flowers blooming near the riverbank with trees visible in the distance,खोलाको किनार नजिक फूलहरू फुलेको र अलि टाढातिर रूखहरू देखिएको
"Flowers, greenery","फूल, हरियाली"
Gaadi,गाडी
Gaadi hidiraxa,गाडी गुडिरहेको छ।
Gau ghar ko bato,गाउँ घरको बाटो
Gaunle parivesh ma baneko parampargat jhopadi jasto thau,ग्रामीण परिवेशमा बनेको परम्परागत झुपडी जस्तो ठाउँ
Geet gairaxan halliraxan,गीत गाइरहेका छन् र हल्लिरहेका छन्
Geet ko taal milai damphu bajaudai,गीतको ताल मिलाई डम्फु बजाउँदै
"Ghar bhitra ko scene jaha aaina, jutta ko rack and dhoka dekhiyeko","घरभित्रको दृश्य जहाँ ऐना, जुत्ताको र्याक र ढोका देखिएको छ"
Ghar ko aagan,घरको आँगन
Ghar ko peti waa kunai basne thau,घरको पेटी वा कुनै बस्ने ठाउँ
Ghar manche haru basirakhya,"घर, मानिसहरू बसिरहेका"
Ghar ori pari purano sadhan ra khadhanya bastu haru jhundako ani aagan ma manish haru dekheko,घर वरिपरि पुराना साधन र खाद्यान्न वस्तुहरू झुण्ड्याएको अनि आँगनमा मानिसहरू देखिएका
Girl,केटी
Girls,केटीहरू
Girls are dancing in traditional clothing.,केटीहरू परम्परागत लुगामा नाचिरहेका छन्।
Girls are standing on the grass.,केटीहरू घाँसमाथि उभिएका छन्।
Girls dancing,केटीहरू नाचेको
Girls of Tharu culture wearing Tharu traditional clothes,थारु संस्कृतिका केटीहरू थारु लुगा लगाएका
Girls walking along the village path,केटीहरू गाउँको बाटो हिँड्दै
Girls wearing Tharu traditional attire dancing while surrounding a boy,थारु पोसाक लगाएका केटीहरूले एउटा केटालाई घेरेर नाचेको
"Glaciers all around, and a glacier-fed river flowing",चारैतिर ग्लेसियर अनि ग्लेसियर पग्लिएर बनेको हिमनदी
"Green grass all around, flags hanging in the flat area","चारैतिर हरियो घाँस, समथर ठाउँमा पताकाहरू झुण्ड्याएको"
Green grass is seen on top of the stone steps.,ढुङ्गाले बनेको सिँढीको माथि हरियो घाँस देखिएको छ।
Green grass seen on the lawn,चौरमा हरियो घाँस देखिएको
"Green hilly landscape, open sky above, and a slightly dim view of a mountain village and hills on the side.","हरियो पहाडी भू-भाग, माथि खुला आकाश, र साइडमा थोरै धमिलो रूपमा पहाडी गाउँ र डाँडाहरू देखिन्छन्।"
Green trees with large sparse branches,हरिया पातला ठूला-ठूला हाँगा भएका रूखहरू
"Greenery all around, with cold and gentle breeze blowing","चारैतिर हरियाली, चिसो र सुस्त हावा चलेको"
Greenery is all around and a blue sky is visible.,चारैतिर हरियाली छ र नीलो आकाश देखिएको छ
"Guitar, Mandolin ani Djembe baja haru","गिटार, म्यान्डोलिन अनि जेम्बे बाजाहरू"
"Guitar, Mandolin, and Djembe musical instruments","गिटार, म्यान्डोलिन अनि जेम्बे बाजाहरू"
"Gulping down a shot of alcohol, the boy makes a face.",एक पेग रक्सी घ्याम्प्याएर केटोले मुख बिगार्दै
Hariyo ghas ko maidan ma rangi chnagi pataka haru jhundako,हरियो घाँसको मैदानमा रङ्गीचङ्गी पताकाहरू झुण्ड्याएको
Hariyo rukh haru,हरियो रूखहरू
Hath ma damphu lidai gaudai gareko,हातमा डम्फु लिँदै गाउँदै गरेको
Hath ma laligurash xopera nikai sad expression didai,हातमा लालीगुराँस समातेर निकै दुःखी अभिव्यक्ति दिँदै
Having come to watch the Tharu dance at night,रातिको बेला थारु नाच हेर्न आएको
Hawa le garda unko lamo kapaal halka uddai susta parama hideko,हावाले गर्दा उनको लामो कपाल हल्का उड्दै सुस्त गतिमा हिँडेको
Her long hair blows gently in the wind as she walks in slow motion.,हावाले गर्दा उनको लामो कपाल हल्का उड्दै सुस्त गतिमा हिँडेको
"Heu ley dhakeko himal ani purano dhunga, mato ra kath ley baneko ghar","हिउँले ढाकेको हिमाल अनि पुरानो ढुङ्गा, माटो र काठले बनेको घर"
"Hills and forest with large trees, covered in clouds and fog","डाँडा र जङ्गल, ठूला-ठूला रूखहरू, बादल र कुहिरोले ढाकिएको"
Hilly region people wearing traditional hill attire and yellow boots on their feet,"पहाडी भेगका मानिसहरू, पहाडी पोसाक अनि खुट्टामा पहेंलो रङको बुट लगाएका"
Himal ko mathi badal haru,हिमालको माथि बादलहरू
Holding the girl's hand and dancing in a romantic mood,केटीको हात समातेर रोमान्टिक पारामा नाच्दै
Hotel bhitra kehi manxey haru,होटलभित्र केही मानिसहरू
Hotel ko sauji lai ek glass local magaudai gareko,होटलको साहुजीसँग एक ग्लास लोकल मगाउँदै गरेको
Hotel ma baseka kehi grahak haru,होटलमा बसेका केही ग्राहकहरू
House courtyard,घरको आँगन
Houses built of mud and stone,माटो र ढुङ्गाले बनेका घरहरू
Hugging a tree,रूख अङ्गालिरहेको
"In a dim nighttime background, dancers wearing traditional Tharu attire and carrying burning oil lamps in their hands are dancing in circles around them.","रात्रिकालीन धमिलो पृष्ठभूमिमा, परम्परागत थारु पोसाक लगाएका र हातमा बलिरहेको दियो बोकेका नर्तकीहरू उनीहरूलाई केन्द्रविन्दुमा राखी वरिपरि घुम्दै नृत्य गरिरहेका छन्।"
"In a narrow alley with brick walls and graffiti, under the streetlights at night","इँट्टाको भित्ता र ग्राफिटी भएको साँघुरो गल्लीमा, रातिको समय बत्तीको उज्यालो बीच"
"In front of a small old house, a steel structure, a cooking pot, and dry firewood kept for burning",सानो पुरानो घरको अगाडि स्टिलले बनेको र डेक्ची र आगो बाल्न राखेको सुकेको दाउरा
"In front, a boy wearing a black coat and a white shirt is standing, and next to him, a girl wearing black clothes is standing.","अगाडि एक जना केटा कालो कोट र सेतो सर्ट लगाएर उभिएको छ, उसको छेउमा एक जना केटी कालो लुगा लगाएर उभिएकी छिन्।"
In the background is a red brick house with a wooden window. Colorful flags and long ribbon-like fabrics are hanging.,पछाडि रातो रङको इँट्टाको घर अनि काठले बनेको झ्याल छ। रङ्गीचङ्गी पताका अनि रिबन जस्तो लामो कपडा झुण्ड्याएको देखिन्छ।
"In the background, marigold garlands like Tihar are hanging, and yellow lights are shining.",पछाडि तिहारको जस्तो सयपत्री माला झुण्ड्याएको अनि पहेंलो बत्ती बलिरहेको
"In the background, the house pillar is decorated with yellow flowers.",पछाडि घरको थामलाई पहेंलो फूलले सजाइएको।
"In the center, the lead couple is adorned in attire resembling wedding outfits.",बीचमा मुख्य जोडी विवाहको पोसाक जस्तो पहिरनमा सजिएका छन्
"In the center, the lead male artist and female artist are sitting together.",बीचमा मुख्य कलाकार (केटा) र कलाकार (केटी) एकैसाथ बसेका छन्।
"In the cold weather, snow is seen covering the grass in the background.",चिसो मौसममा पछाडि हिउँले घाँसहरू ढाकेको देख्न सकिन्छ।
"In the upper part, we can see traditional baskets (dalo) and maize bunches hanging.",माथिल्लो भागमा परम्परागत डालो र मकैको झुत्ताहरू झुण्ड्याएको हामी हेर्न सक्छौं।
"Inside an indoor party-like venue with brick walls, colorful flags, star-shaped lights, and decorations","इँट्टाको भित्ता, रङ्गीचङ्गी पताका, तारा आकारको बत्ती र सजावट भएको पार्टी जस्तो इन्डोर ठाउँमा"
"It is dark, and a small light is glowing.","अँध्यारो छ, सानो बत्ती बलिरहेको छ।"
It is dark.,अँध्यारो छ।
It is heavily foggy.,मज्जाले कुहिरो लागेको छ
It is snowing and they are dancing.,हिउँ परिरहेको छ अनि उनीहरू नाचिरहेका छन्।
"It looks like a brightly decorated venue, possibly for a wedding or video shoot.",कुनै विवाह अथवा सुटिङको जस्तो उज्यालो सजावट भएको ठाउँ देखिन्छ
It looks very cold and foggy.,एकदमै चिसो भएर हुस्सु लागेको देखिन्छ
"Itta ko bhitta ra graffiti bhayeko saaguro galli ma, rati ko samaya batti ko ujyaalo bich","इँट्टाको भित्ता र ग्राफिटी भएको साँघुरो गल्लीमा, रातिको समय बत्तीको उज्यालो बीच"
Itta ko bhitta ra rangin batti bhayeko bhitra ko party jasto thau,ईट्टाको भित्ता र रङ्गीन बत्ती भएको भित्रको पार्टी जस्तो ठाउँ
"Itta ko bhitta, rangin pataka, tara aakar ko batti ra sajawat bhayeko party jasto indoor thau ma","इँट्टाको भित्ता, रङ्गीचङ्गी पताका, तारा आकारको बत्ती र सजावट भएको पार्टी जस्तो इन्डोर ठाउँमा"
Itta ley banako ghar jaha dherai kath ko jhayal haru,इँट्टाले बनेको घर जहाँ धेरै काठको झ्यालहरू छन्
Kacchi bato bolero gadi ley manxey bokera jadai,कच्ची बाटोमा बोलेरो गाडीले मानिस बोकेर जाँदै
Kacchi bato ma bolero ley manxey bokera kuddhai,कच्ची बाटोमा बोलेरोले मानिस बोकेर कुदिरहेको
Kacchi shaguro dhanga ley banako bato,कच्ची साँघुरो ढङ्गले बनेको बाटो
Kammar ma hath rakhi gahiro sochma,कम्मरमा हात राखी गहिरो सोचमा
Kath ko ghar,काठको घर
Kath ko ghar mathi eauta moto khaiyo rang ko coat lagako eauta manxey,काठको घरमाथि एउटा मोटो खैरो रङको कोट लगाएको एउटा मान्छे
Kath ra dhunga ley baneko purano ghar haru bich ma eauta kacchi bato,काठ र ढुङ्गाले बनेको पुरानो घरहरूको बीचमा एउटा कच्ची बाटो
"Kathko khambaharu bhayeko dhakiyeko galchhi, itako  vitta  ra dhalako bhui,","काठको खम्बाहरू भएको ढाकिएको गल्ली, इट्टाको भित्ता र ढलानको भुइँ"
Keto damphu bajaudai,केटो डम्फु बजाउँदै
Khada lagayera bidai gari raheko,खादा लगाएर बिदाइ गरिरहेको
Khulla aakash anii gham masta taleko ani paxi gham dubna laghda tyo horizon dekheko,खुला आकाश अनि घाम मज्जाले लागेको अनि पछि घाम डुब्न लाग्दा क्षितिज देखिएको
"Khulla aangan, seto kursi ra tableharu, dhungako sindi, itako bhitta, ra ghar.","खुला आँगन, सेतो कुर्सी र टेबलहरू, ढुङ्गाको सिँढी, इँट्टाको भित्ता, र घर।"
Kunai purano ghar wa mandir ko aagan aagadi sabai jana nirtya gardai,कुनै पुरानो घर वा मन्दिरको आँगन अगाडि सबै जना नृत्य गर्दै
"Lakhey dancer, madal drums, Newari-clad women playing madal, drum set, Durbar Square","लाखे, मादल, नेवारी पहिरन लगाएकी महिलाहरू मादल बजाउँदै, ड्रम, दरबार स्क्वायर"
"Lamo kapal, rato ranko shirt ani tala nilo jeans lagako eauta yuba.","लामो कपाल, रातो रङको सर्ट अनि तल नीलो जिन्स लगाएको एउटा युवा।"
"Large bare hills in the background, with a small tree and firewood logs visible nearby.",पछाडि ठूला-ठूला नाङ्गा पहाडहरू अनि छेउतिर एउटा सानो रूख र दाउराहरू देख्न सकिन्छ।
Large snow-covered mountains and high hills,ठूला हिउँ परेका हिमाल अनि अग्ला पहाडहरू
"Large traditional houses where doko baskets, pumpkins, and corn are hanging","ठूला परम्परागत घरहरू जहाँ डोको, फर्सी र मकै झुण्ड्याएको देखिन्छ"
"Large trees, an uphill terrain, and green grass all around","ठूला-ठूला रूखहरू, उकालो भएको ठाउँ अनि चारैतिर हरियो घाँस भएको"
Laughing,हाँस्दै
Leaning against the wall with closed eyes,आँखा चिम्लेर भित्तामा अडिएको
"Light greenery on the hill behind, and a human settlement (village) can be seen.",पछाडिको पहाडमा हल्का हरियाली अनि मानिसहरूको बस्ती देखिन्छ।
Lights and background dancers are dancing.,लाइट अनि ब्याकग्राउन्ड डान्सर नाचिरहेका छन्।
Lights are flickering inside a large room with two windows.,दुईवटा झ्याल भएको ठूलो कोठामा बत्ती झिमिक झिमिक गरिरहेको
Looking / Watching,हेर्दै
Lush green rural backdrop & supporting dancers wearing red choli and dark yellow fariya along with yellow potey around their necks.,हरियाली देखिने ग्रामीण भेगको पृष्ठभूमि र सहायक रूपमा रातो चोली र गाढा पहेंलो रङको फरियासँगै घाटीमा पहेंलो पोते लगाएका नर्तकीहरू।
Lying down and laughing,सुतेर हाँस्दै
Magar dress lagayeka yuba haru,मगर पोसाक लगाएका युवाहरू
Magar men and women wearing traditional Magar attire,मगर पोसाक लगाएका मगर र मगरनीहरू
Magar women dancing with their hands on their waists,मगरनीहरू कम्मरमा हात राखेर नाच्दै
Maize (corn) hanging on the old house,पुरानो घरमा मकै झुण्ड्याएको
Man,पुरुष
Man / Person,मान्छे
Man and woman,पुरुष र महिला
Manche,मान्छे
Manche haru xaan,मानिसहरू छन्।
Manxey haru ghau ghar ka thula bada lai namaste gardai aagadi hideko,मानिसहरू गाउँ घरका ठूला बडालाई नमस्ते गर्दै अगाडि हिँडेको
Manxey haru vela vaxan kunai mohatsab ko tayari,मानिसहरू जम्मा भएका छन् कुनै महोत्सवको तयारी
Many people are dancing.,धेरै मानिसहरू नाचिरहेका छन्।
Many people are together at a big party.,धेरै मानिसहरू ठूलो पार्टीमा सँगै छन्
"Many young men, some of whom are holding guns","धेरै जना युवाहरू, जसमा केही जनाको हातमा बन्दुक छ"
Many young people are gathered in a group.,धनी मानिसहरू समूहमा भेला भएका छन्।
Massive snow-clad mountains and hills,ठूला-ठूला हिमाल पहाडहरू
Masta kuhiro lagai chhha,मज्जाले कुहिरो लागेको छ
Mato ra dhunga ley banako ghar haru,माटो र ढुङ्गाले बनेका घरहरू
Mayur ko pwakh paxadi dekhiyeko magar dress lagayeko yuba haru,मयूरको प्वाँख पछाडि देखिएको मगर पोसाक लगाएका युवाहरू
Men and women wearing Newari traditional attire,नेवारी पहिरन लगाएका पुरुष र महिलाहरू
Moto luga lagako gau ghar ka manxey haru,मोटो लुगा लगाएका गाउँ घरका मानिसहरू
Mountains / Hills,पहाड
Mukhya abhinetri baranda ko bichma ubhiyera ramilo para ma geet gaundai ra abhinay gardai chin,मुख्य अभिनेत्री बरण्डाको बीचमा उभिएर रमाइलो पारामा गीत गाउँदै र अभिनय गरिरहेकी छिन्
Nayika camera ko agadi basera geet ko thik bhavana anusar acting gardai chhin,नायिका क्यामेराको अगाडि बसेर गीतको ठीक भावना अनुसार अभिनय गरिरहेकी छिन्।
"Nelo half jacket, full sleeves, pant ani jutta lagako eauta keto","नीलो हाफ ज्याकेट, फुल बाहुला भएको सर्ट, प्यान्ट अनि जुत्ता लगाएको एउटा केटो"
Nilo aakash ani nikai para tira himal haru dkehiyeko,नीलो आकाश अनि निकै टाढा हिमालहरू देखिएको
Nilo rang ko parda aagadi eauta gadi,नीलो रङको पर्दा अगाडि एउटा गाडी
"Nilo rangko chuba, bhitra bata kalo rang ko shirt ani tauko ma eauta kalo rang ko hat lagayeko eauta keto.","नीलो रङको चुबा, भित्रबाट कालो रङको सर्ट अनि टाउकोमा एउटा कालो रङको ह्याट लगाएको एउटा केटो।"
Nilo rangko putali udera yubak ko hath ma bashxa ani yubak ley mukh bata sano suskera falera putali udhxa,नीलो रङको पुतली उडेर युवकको हातमा बस्छ अनि युवकले मुखबाट सानो सुस्केरा फालेर पुतली उडाउँछ।
Nilo shirt and bhitra seto shirt lagakeo eauta yubak jasley tauko ma rumal badheko,नीलो सर्ट र भित्र सेतो सर्ट लगाएको एउटा युवक जसले टाउकोमा रुमाल बाँधेको
Nirtya hearna ko lagi manxey haru ko thulo bhid dekheko,नृत्य हेर्नका लागि मानिसहरूको ठूलो भिड देखिएको
Observing closely / Inspecting,नियाल्दै
Ocean / Sea,समुद्र
"Old houses (roofed with stone, mud, wood, and tin)","पुरानो (ढुङ्गा, माटो, काठ र टिनले छाएको) घरहरू"
"Old tools and food crops hanging around the house, with people in the courtyard",घर वरिपरि पुराना साधन र खाद्यान्न वस्तुहरू झुण्ड्याएको अनि आँगनमा मानिसहरू देखिएका
"Old traditional houses built of wood, mud, and stone","पुराना परम्परागत काठ, माटो अनि ढुङ्गाले बनेका घरहरू"
"One young man is smoking a cigarette, while other young men stand next to him looking down.","एक जना युवा चुरोट तान्दै छ, अरू युवाहरू उसको छेउमा उभिएर तलतिर हेर्दै छन्।"
"Open courtyard, trees, a small pond, flowers blooming in the pond","खुला आँगन, रूखहरू, सानो ताल, तालमा फूल फुलिरहेको"
"Open sky with bright sunshine, showing the horizon as the sun begins to set",खुला आकाश अनि घाम मज्जाले लागेको अनि पछि घाम डुब्न लाग्दा क्षितिज देखिएको
"Open space of a temple or palace courtyard, with other artists in supporting roles wearing cultural costumes",मन्दिर वा दरबार परिसरको खुला ठाउँ र अन्य सांस्कृतिक पोसाक लगाएका सहायक भूमिकामा कलाकारहरू
Pahad,पहाड
Pahadh chiso ma dui jana manxey haru nayno kapada lagayeka,पहाडको चिसोमा न्यानो लुगा लगाएका दुई जना मानिसहरू
Pahadh ko bhiralo manxey hidney bato,पहाडको भिरालो मानिस हिँड्ने बाटो
Pahadi bheg ko sapat maidan ma kunai karyekaram,पहाडी भेगको समथर मैदानमा कुनै कार्यक्रम
Pahadi luga lagayeko dui jana manish haru,पहाडी लुगा लगाएका दुई जना मानिसहरू
Painted wall / Wall with drawings,चित्र कोरिएको भित्ता
Pani ghass rukh,"पानी, घाँस, रूख"
Paramparagat ghar ko aagadi eauta aagan,परम्परागत घरको अगाडि एउटा आँगन
Paramparagat ghar ko aagadi thulo aagan,परम्परागत घरको अगाडि ठूलो आँगन
Pasal ko sauji kukur sanga kheladai ani pasal safa gardai,पसलको साहुजी कुकुरसँग खेल्दै अनि पसल सफा गर्दै
Paxadi eauta ghar ani rukh haru dekhiyeko,पछाडि एउटा घर अनि रूखहरू देखिएको
Paxadi ghar to tham lai paheko phool ley sajayeko.,पछाडि घरको थामलाई पहेंलो फूलले सजाइएको।
Paxadi rangi chnagi pataka haru dori ley jhundako,पछाडि रङ्गीचङ्गी पताकाहरू डोरीले झुण्ड्याएको
Paxadi tihar ko jasto sayapatri mala jhundako ani paheko batti boli raheko,पछाडि तिहारको जस्तो सयपत्री माला झुण्ड्याएको अनि पहेंलो बत्ती बलिरहेको
People are descending from the path.,मानिसहरू बाटोबाट ओर्लिँदै छन्
"People are gathered, preparing for a festival.",मानिसहरू जम्मा भएका छन् कुनै महोत्सवको तयारी
"People are seen carrying doko baskets, winnowing with supo, and arranging straw.","मानिसहरू डोको बोक्दै, सुपो हम्काउँदै र पराल मिलाउँदै गरेको देखिन्छ।"
People are seen dancing in a circle.,मानिसहरू गोलो घेरा बनाएर नाचिरहेको देखिन्छ।
People are seen wearing the attire of the Magar community.,मानिसहरूले मगर समुदायको पोसाक लगाएको देखिन्छ
"People are standing on the road, and a boy is wearing a red waistcoat and a red flower in his ear.",बाटोमा मानिसहरू उभिएको र एउटा केटाले रातो इस्टकोट अनि कानमा रातो फूल लगाएको
"People are walking on the road, and some boys are holding a rooster and having fun.",मानिसहरू बाटोमा हिँडिरहेको अनि केही केटाहरू भाले समातेर रमाइलो गर्दै
People greeting the village elders with a 'Namaste' and walking forward,मानिसहरू गाउँ घरका ठूला बडालाई नमस्ते गर्दै अगाडि हिँडेको
People in various colored clothes sitting on the porch of the house,विभिन्न रङको लुगा लगाएका मानिसहरू घरको पेटीमा बसिरहेका
Performing a group folk dance together while raising their hands in the air,एकसाथ आफ्नो-आफ्नो हात हावामा उठाएर सामूहिक लोकनृत्य गरिरहेका
"Piano, guitar, drums ani speaker haru dekhna sakinxa","पियानो, गिटार, ड्रम अनि स्पिकरहरू देख्न सकिन्छ"
"Piano, guitar, drums, and speakers can be seen.","पियानो, गिटार, ड्रम अनि स्पिकरहरू देख्न सकिन्छ"
Picking up trash,फोहोर टिप्दै
Pigeons are flying as everyone performs a group dance.,परेवाहरू उडिरहेका छन् अनि सबै जनाले समूहगत नृत्य गरेका छन्।
"Placing arm on the girl's shoulder, the boy and girl dance and romance.","केटीको काँधमा हात राखी, केटा र केटी नाच्दै रोमान्स गर्दै"
Placing hand on the stomach,पेटमा हात राख्दै
Playing damphu drum in sync with the song's beat,गीतको ताल मिलाई डम्फु बजाउँदै
"Playing guitar, dancing, and singing","गिटार बजाउँदै, नाच्दै र गाउँदै"
Plucking flowers,फूल टिप्दै
Pumpkins are hanging from the wooden structure.,काठको ढाँचामा फर्सी झुण्डिएको छ
Purano ghar ma makai jhundako,पुरानो घरमा मकै झुण्ड्याएको
Purano matoko ghar,पुरानो माटोको घर
"Purano paramparagat kath, mato ani dhunga ley baneko ghar haru","पुराना परम्परागत काठ, माटो अनि ढुङ्गाले बनेका घरहरू"
"Putting a flower on the head, laughing","शिरमा फूल लगाउँदै, हाँस्दै"
Rati ma paxadi aago bali raheko,रातिमा पछाडि आगो बलिरहेको
Ready,तयार
Riding the motorcycle forward,मोटरसाइकल चलाउँदै अगाडितिर आउँदै गरेको
"River, tree, bushes","नदी, रूख, झाडी"
"Roofed with red bricks above, and supported by many white pillars",माथि रातो इट्टाले छाएको अनि त्यसलाई सपोर्ट गर्न सेतो रङको धेरै पिल्लरहरू
Rukh ko haga ma actor ra actress haru shooting gardai,रूखको हाँगामा अभिनेता र अभिनेत्रीहरू सुटिङ गर्दै
Sahar ko bato jaha dherai pasal ani hotel,शहरको बाटो जहाँ धेरै पसल अनि होटलहरू छन्
Sahar ko eauta sano galli,शहरको एउटा सानो गल्ली
Samundra,समुद्र
Sano purano ghar ko aagadi steel ley baneko ra depchi ra aago balna rakheko sukeko daura,सानो पुरानो घरको अगाडि स्टिलले बनेको र डेक्ची र आगो बाल्न राखेको सुकेको दाउरा
"Sathi ley Jabar jasti local khulayera, mukh bigardai gareko eauta yubak",साथीले जबर्जस्ती लोकल खुवाएर मुख बिगार्दै गरेको एउटा युवक
Searching inside a sack,बोराभित्र खोज्दै
"Seeing the beautiful girl, the boy is lost in deep thought.",राम्री केटीलाई देखेर केटो गहिरो सोचमा
"Seeing the beautiful scenery, the boy spreads his arms and puts them on his head.",सुन्दर दृश्य देखेर केटाले हात फैलाउँदै टाउकोमा राखेको
"Seeing the lead artist sway his waist, the other male dancers clap.",मुख्य कलाकारले कम्मर हल्लाएको देखेर अरू केटा कलाकारहरूले ताली बजाउँछन्।
Seto rang ko bolero,सेतो रङको बोलेरो
She is dancing with her arms spread.,आफ्नो हात फैलाएर नाचिरहेकी छिन्।
She is walking with a very happy and smiling expression.,एकदम खुसी र हँसिलो अभिव्यक्तिका साथ उनी हिँडिरहेको
Shirt,शर्ट
Singing and dancing,गाउँदै र नाच्दै
Singing and dancing in sync with hand and foot movements,गीत गाउँदै अनि हात र खुट्टाको ताल मिलाएर नाच्दै
Singing while holding a damphu (traditional drum) in hand,हातमा डम्फु लिँदै गाउँदै गरेको
"Sirbandi (head ornament), dhaka topi, and daura surwal","शिरबन्दी, ढाका टोपी, दौरा सुरुवाल"
Sirbandi dhaka topi daura surwal,"शिरबन्दी, ढाका टोपी, दौरा सुरुवाल"
Sisa ko table mathi eauta seto kukur,सिसाको टेबलमाथि एउटा सेतो कुकुर
Sitting,बस्दै
"Sitting near the flowers in the meadow, the girl tries to catch a butterfly sitting on a white flower while lip-syncing to the song rhythm with hopeful expressions.","केटी चौरको फूलको छेउमा बसेर, एउटा सेतो फूलमाथि बसेको पुतलीलाई छोप्न खोज्दै अनि गीतको तालमा लिप-सिङ्क र आशामायी अभिव्यक्ति दिइरहेकी छिन्।"
"Sitting on the lawn, facing the camera, giving many expressions and dancing",चौरमाथि बसेर क्यामेरातिर फर्केर धेरै अभिव्यक्ति दिँदै अनि नाचिरहेको
Sitting with dogs,कुकुरसँग बसेको
Small triangular colorful cloth flags are hanging on strings all around the field. This is typically used during fairs and festivals.,"मैदानमा चारैतिर रङ्गीचङ्गी कपडाको सानो-सानो त्रिकोण आकार जस्तो भएको, डोरीमा झुण्ड्याइएको छ। यसको प्रयोग कुनै मेला र उत्सवको बेलामा गरिन्छ।"
Smiling,मुस्कुराउँदै
Snow,हिउँ
"Snow has fallen all around, covering the surrounding plants and bushes.",चारैतिर हिउँ परेर वरिपरिका बोटबिरुवालाई हिउँले ढाकेको
Snow is clinging to the hair of the lead actor in a coat and the lead actress in a saree.,कोट लगाएका मुख्य नायक अनि साडी लगाएकी मुख्य नायिकाको कपालमा हिउँ टाँसिएको
"Snow-covered mountains, and an old house built of stone, mud, and wood","हिउँले ढाकेको हिमाल अनि पुरानो ढुङ्गा, माटो र काठले बनेको घर"
Some customers sitting in the hotel,होटलमा बसेका केही ग्राहकहरू
"Some people are at the base of the stairs, while others are at the upper side.",कोही मानिसहरू सिँढीको फेदमा छन् भने कोही माथिल्लो पट्टी छन्
Some people are seen moving in and out of the temple for worship.,मन्दिरमा पूजा गर्नका लागि केही मानिसको आवतजावत देखिन्छ
Some people are sitting on the porch of the house and some are standing.,कोही मानिसहरू घरको पेटीमा बसिरहेका छन् भने कोही उभिएका छन्
Some people can be seen standing in the background.,पृष्ठभूमिमा केही मानिसहरू उभिएको देख्न सकिन्छ।
Standing and looking ahead,उभिएर अगाडि हेरिरहेकी
"Standing by the fence, looking at the camera, laughing happily, fixing her hair, and blushing while swaying to the rhythm of the song.","केटी त्यो बारको छेउमा उभिएर, क्यामेरातिर हेरेर रमाइलोसँग हाँस्दै, आफ्नो कपाल मिलाउने र लाज मान्दै गीतको तालमा झुमिरहेकी देखिन्छिन्।"
"Stony road, area under the bridge, bushes, trash","ढुङ्गा भएको बाटो, पुलमुनिको क्षेत्र, झाडीबुटी, फोहोर"
"Street, house, dog","सडक, घर, कुकुर"
Sudar himal,सुन्दर हिमाल
Sundar drishya dekhera keto ley hath failaudai tauko ma rakheko,सुन्दर दृश्य देखेर केटाले हात फैलाउँदै टाउकोमा राखेको
Sundar surya ko kiran dekheko,सुन्दर सूर्यको किरण देखिएको
Table mathi baseko eauta kukur,टेबलमाथि बसेको एउटा कुकुर
Tala nelo jeans and seto full sleeves lagayeko eauta keto pahadh ko bhir ma ubidaii,तल नीलो जिन्स र सेतो फुल बाहुला भएको सर्ट लगाएको एउटा केटो पहाडको भीरमा उभिइरहेको
Tall hills,अग्ला पहाडहरू
Tharu women are dancing.,थारु महिलाहरू नाचिरहेका छन्
The Bolero is driving fast carrying people on the unpaved road.,कच्ची बाटोमा बोलेरोले मानिस बोकेर कुदिरहेको
"The Bolero utility vehicle is driving, carrying people and raising dust.","बोलेरो गाडीले मानिस बोकेर, धुलो उडाउँदै, गुडिरहेको छ"
The actor and actress shooting on a tree branch,रूखको हाँगामा अभिनेता र अभिनेत्रीहरू सुटिङ गर्दै
"The actor is dancing and making fun hand gestures, energetically performing a hip-hop style dance and lip-syncing.",अभिनेता नाच्दै र रमाइलो हातको हाउभाउ गर्दै ऊर्जावान् रूपमा हिप-हप शैलीको नृत्य र लिप-सिङ्क गरिरहेका छन्।
"The actor is standing in a unique outfit combining traditional and modern styles. He is wearing a striped grey kurta, a cloth drape with red-and-white borders, black pants, glasses, and a hat.","अभिनेता एउटा विशेष सांस्कृतिक र आधुनिक लुकको संयोजनको पोसाकमा उभिएका छन्। उनले धर्का भएको खरानी रङको कुर्ता, माथिबाट रातो-सेतो बोर्डर भएको कपडा, कालो प्यान्ट अनि चस्मा, र टाउकोमा एउटा ह्याट लगाएका छन्।"
"The actor, male backup dancers, and female backup dancers are dancing dynamically shaking their waists.","अभिनेता, सह-नर्तक, सह-नर्तकीहरू कम्मर भाँचेर नाचिरहेका छन्।"
