English,Arabic
The lady in the red car is crossing the bridge .,السيدة في السيارة الحمراء تعبر الجسر.
A girl with a black purse sitting on a wooden bench .,فتاة مع محفظة سوداء جالسة على مقعد خشبي.
A woman sits alone on a park bench in the sun .,امرأة تجلس وحدها على مقعد الحديقة في الشمس.
A woman with a handbag is sitting on a wooden bench .,امرأة ذات حقيبة يد تجلس على مقعد خشبي.
A young asian woman wearing long shorts and a gray collared t-shirt is sitting on a wooden bench .,امرأة آسيوية شابة ترتدي سروالاً طويلًا وقميصًا رماديًا رماديًا تجلس على مقعد خشبي.
A young woman with a black purse sits on a wooden bench .,امرأة شابة مع محفظة سوداء تجلس على مقعد خشبي.
A girl in a white shirt is sitting on a park bench with a dog next to her .,فتاة في قميص أبيض تجلس على مقعد حديقة مع كلب بجوارها.
A woman eats on a bench while a brown and white leashed dog stands next to her .,امرأة تأكل على مقاعد البدلاء بينما يقف كلب مقود بني وأبيض بجانبها.
a woman is sitting on a bench with a latte in her lap and a white dog on a blue leash to her side .,تجلس امرأة على مقعد مع لاتيه في حضنها وكلب أبيض على مقود أزرق إلى جانبها.
A woman sits on a bench at the park with her dog in front of her .,تجلس امرأة على مقعد في الحديقة مع كلبها أمامها.
Woman sitting on bench and holding the leash of a large white and brown dog .,امرأة جالسة على مقاعد البدلاء وتعقد مقود كلب أبيض وبني كبير.
a biker enjoys a coffee .,يتمتع راكب الدراجة النارية بقهوة.
A man in a bright green shirt and sunglasses is riding a bicycle through the streets whilst drinking a latte .,رجل يرتدي قميصًا أخضرًا زاهيًا ونظارات شمسية يركب دراجة عبر الشوارع أثناء شرب لاتيه.
"""A man in a bright green shirt riding a bicycle in a paved courtyard , carying a drink .""","""رجل يرتدي قميصًا أخضر مشرق يركب دراجة في فناء معبّد ، يشرب مشروبًا""."
A man rides on his bike with one hand and holds a drink with the other .,رجل يركب دراجته بيد واحدة ويحمل مشروبًا مع الآخر.
A man riding a bike wearing a green shirt with a drink in his hand .,رجل يركب دراجة يرتدي قميصًا أخضر مع مشروب في يده.
A baby girl is attempting to climb out of her green crib,تحاول طفلة تسلقها من سريرها الأخضر
A baby in pigtails tries to climb out of their playpen .,يحاول طفل في أسلاك التوصيل المصنوعة أن يخرج من روضة اللعب.
A female toddler in pigtails is trying to climb out of a green and white playpen .,تحاول طفلة صغيرة في أسلاك التوصيل المصنوعة أن تتسلق من مواجهة اللعب الخضراء والأبيض.
A toddler is in a green playpen .,طفل صغير في روضة خضراء.
Baby with blonde pigtails in yellow room attempting to climb out of green playpen .,طفل مع أسلاك التوصيل المصنوعة الأشقر في غرفة صفراء يحاول الصعود من الروضة الخضراء.
A man in a red jacket looking out over snow-covered mountains .,رجل في سترة حمراء ينظر إلى الجبال المغطاة بالثلوج.
A man in red snow gear looks at an expanse of snow and mountains .,رجل يتكون من الثلج الأحمر ينظر إلى مجموعة من الثلج والجبال.
"""A person in a red and black ski outfit is looking over a snowy , mountainous landscape .""","""يبحث شخص في ملابس تزلج حمراء وسوداء على منظر طبيعي ثلجي."""
A person in a red coat looking out at a snowy landscape .,شخص في معطف أحمر ينظر إلى المناظر الطبيعية الثلجية.
View from the summit,عرض من القمة
A black and white dog carrying a large stick,كلب أسود وأبيض يحمل عصا كبيرة
A black and white dog is carrying a stick in its mouth .,الكلب الأسود والأبيض يحمل عصا في فمه.
a black and white dog walking through the grass with a long stick in his mouth .,كلب أسود وأبيض يمشي عبر العشب بعصا طويلة في فمه.
a dog holds a stick in its mouth .,كلب يحمل عصا في فمه.
A dog trots across the ground with a large stick in his mouth .,كلب يربط على الأرض بعصا كبيرة في فمه.
A boy in blue with a football sprawls in the grass .,صبي باللون الأزرق مع كرة قدم يمتد في العشب.
A boy laying on the grass face down with a football at his feet .,صبي يضع على العشب وجهًا لأسفل مع كرة قدم عند قدميه.
Boy is lying face down in the grass with his foot on a football .,الصبي يرقد وجهه في العشب مع قدمه على كرة القدم.
The boy is on the ground next to the football .,الصبي على الأرض بجوار كرة القدم.
The little boy fell face first into the grass while playing football .,سقط الصبي الصغير وجهه أولاً في العشب أثناء لعب كرة القدم.
girls seated at table with a candle covered with lit candles,الفتيات يجلسون على الطاولة مع شمعة مغطاة بشموع مضاءة
A birthday celebration taking place for a girl who has reached age 5 .,احتفال بعيد ميلاد يجري لفتاة بلغت سن الخامسة.
Boy and his family celebrating his birthday with a brightly lit cake .,الصبي وعائلته يحتفلون بعيد ميلاده بكعكة مضاءة بألوان زاهية.
Smiling children gathered around a birthday cake,تجمع الأطفال المبتسمون حول كعكة عيد ميلاد
"""Woman and four little girls , near cake with candles .""","""امرأة وأربع فتيات صغيرات ، بالقرب من الكعكة مع الشموع."""
A black dog runs after another black dog who is carrying a ball .,يركض كلب أسود بعد كلب أسود آخر يحمل كرة.
Two black dogs are running on pavement,اثنين من الكلاب السوداء يركضان على الرصيف
Two black dogs are trotting through an empty public area .,اثنين من الكلاب السوداء يتجولون في منطقة عامة فارغة.
Two black dogs running,اثنين من الكلاب السوداء يركضان
Two dogs are playing on a hardscape .,اثنان من الكلاب يلعبان على قسوة.
About 12 kids and a few adults get splashed by an off camera source .,حوالي 12 طفلاً وعدد قليل من البالغين يتم رشها بواسطة مصدر الكاميرا خارج.
A group of children are in a water fountain .,مجموعة من الأطفال في نافورة المياه.
A group of children standing in a shallow pool of water .,مجموعة من الأطفال يقفون في مجموعة من المياه الضحلة.
A group of young kids play in the water on a sunny day .,مجموعة من الأطفال الصغار يلعبون في الماء في يوم مشمس.
Children and adults play with a sprinkler .,الأطفال والكبار يلعبون مع رشاش.
A winter landscape with four people walking in the snow .,مشهد شتوي مع أربعة أشخاص يمشون في الثلج.
Beautiful snowy landscape with people treading through the snow .,مناظر طبيعية ثلجية جميلة مع الناس يتجولون في الثلج.
Cross-country skiers are traveling towards the mountains at sunset .,المسافرون عبر البلاد يسافرون نحو الجبال عند غروب الشمس.
Four people walking across thick snow during a sunset .,أربعة أشخاص يسيرون عبر الثلج الكثيف أثناء غروب الشمس.
The sun is almost behind the snowy mountains .,الشمس تقف وراء الجبال الثلجية.
"""One man in red shirt and black pants with a man in white shirt and tan shorts , golfing .""","""رجل يرتدي قميصًا أحمر وسروالًا أسود مع رجل يرتدي قميصًا أبيض وسروالًا تان ، وجولف."""
"""Tree in the foreground , two men playing golf in the background .""","""شجرة في المقدمة ، رجلان يلعبان الجولف في الخلفية."""
Two golfers are standing on the fairway looking off into the distance .,يقف اثنان من لاعبي الغولف على الممر ينظران إلى بعيد.
Two golfers look off into the distance with hands blocking the sun .,ينظر اثنان من لاعبي الغولف إلى المسافة مع يديهم تمنع الشمس.
Two men looking into the distance on a golf course .,رجلان يبحثان في المسافة على ملعب للجولف.
A girl is getting ready to swing the club .,فتاة تستعد لتأرجح النادي.
A woman in shorts and a blue sleeveless shirt leans over a golf club .,تميل امرأة في شورتات وقميص بلا أكمام أزرق على نادي للجولف.
A woman is taking a swing with a golf club .,امرأة تتأرجح مع نادي للجولف.
A woman wearing a blue shirt and hat with khaki shorts plays golf .,امرأة ترتدي قميصًا أزرق وقبعة مع شورتات الكاكي تلعب لعبة الجولف.
A woman wearing blue begins a golf swing .,امرأة ترتدي الأزرق تبدأ أرجوحة الجولف.
A man standing on a rocky mountain with gray clouds in the background .,رجل يقف على جبل صخري مع غيوم رمادية في الخلفية.
A man without a shirt is walking on top of lots of rocks .,رجل بدون قميص يسير فوق الكثير من الصخور.
A shirtless man is walking on a rocky hill,رجل بلا قميص يسير على تل صخري
A shirtless man with a backpack .,رجل بلا قميص مع حقيبة ظهر.
A topless person with a backpack is shown against on a pile of rocks with a cloudy background .,يتم عرض شخص عاري الصدر مع حقيبة ظهر على كومة من الصخور ذات خلفية غائمة.
"""A boy dressed in khaki shorts and a red shirt runs on a beach with green , white and blue structures and a half moon behind him .""","""صبي يرتدي شورتات الكاكي وقميصًا أحمر يمتد على شاطئ بهياكل خضراء وأبيض وزرقاء وقمر نصف خلفه."""
A boy in a red sweater running on the beach,صبي في سترة حمراء يركض على الشاطئ
A boy wearing a red shirt runs along a beach .,صبي يرتدي قميصًا أحمر يمتد على طول الشاطئ.
A boy wearing a red sweater runs along a colorful beach .,صبي يرتدي سترة حمراء يمتد على طول شاطئ ملون.
"""Young boy in red runs on beach and passes white , blue and green beach huts .""","""يمتد الصبي الصغير باللون الأحمر على الشاطئ ويمر أكواخ الشاطئ الأبيض والأزرق والأخضر."""
A boat on a lake .,قارب على بحيرة.
A wakeboarder flies sideways in the air .,يطير اللوحة اليقظة جانبية في الهواء.
A waterskier performs tricks .,A Waterskier يؤدي الحيل.
A waterskiing man does a flip behind a speedboat .,رجل مائي يقوم بوجه خلف قارب سريع.
The waterskier does a flip behind a boat .,يقوم المائية بوجه خلف قارب.
A man is pulled behind a boat on a knee board while another doing the same begins to fall .,يتم سحب رجل خلف قارب على لوحة الركبة بينما يبدأ الآخر في السقوط.
Two boys wakeboard .,اثنين من الصبيان.
Two boys waterskiing .,اثنين من الأولاد waterskiing.
Two people are wakeboarding in the water and are being pulled by a boat .,شخصان يغيبان في الماء ويتم سحبهما بواسطة قارب.
Two younger people are being pulled on watercraft behind a boat .,يتم سحب شخصين أصغر سنا على متن الطائرة المائية خلف قارب.
A group of people in costume at a renaissance fair .,مجموعة من الناس في الأزياء في معرض النهضة.
People in costume at a renaissance fair .,الناس في الأزياء في معرض النهضة.
Two woman in colorful costumes look at a little girl wearing a brown vest .,امرأة في أزياء ملونة تنظر إلى فتاة صغيرة ترتدي سترة بنية.
two women and a child are sitting by a cart of arrows in front of a booth at a medieval Fayre .,تجلس امرأتان وطفلان بجوار عربة من الأسهم أمام كشك في فايري في العصور الوسطى.
Two women crouch near a small child at a medieval fair .,تربت امرأتان بالقرب من طفل صغير في معرض العصور الوسطى.
Children sit and watch the fish moving in the pond,يجلس الأطفال ويشاهدون الأسماك تتحرك في البركة
people stare at the orange fish .,يحدق الناس في السمك البرتقالي.
Several people are standing near a fish pond .,العديد من الناس يقفون بالقرب من بركة السمك.
Some children watching fish in a pool .,بعض الأطفال يشاهدون الأسماك في حمام السباحة.
There are several people and children looking into water with a blue tiled floor and goldfish .,هناك العديد من الأشخاص والأطفال الذين يبحثون في الماء بأرضية زرقاء وسمك ذهبي.
a boy in white plays baseball .,فتى باللون الأبيض يلعب البيسبول.
A young boy is getting ready to through a baseball,صبي صغير يستعد من خلال لعبة البيسبول
Little leaguer getting ready for pitch,ليتل ليجاير يستعد للملعب
The boy is wearing a white baseball uniform and holding a baseball .,الصبي يرتدي زي بيسبول أبيض ويحمل بيسبول.
The young Ohio baseball player contemplates his pitch .,لاعب البيسبول الشاب في أوهايو يفكر في الملعب.
a african-american woman stands in the crowd .,امرأة أمريكية من أصل أفريقي تقف في الحشد.
A dark-skinned woman in a blue dress is standing near a crowd .,امرأة ذات البشرة الداكنة ترتدي ثوبًا أزرق تقف بالقرب من الحشد.
A girl in a blue dress walks through a crowd of people .,فتاة ترتدي ثوبًا أزرق تسير عبر حشد من الناس.
A woman in a blue dress stands in a crowd .,امرأة ترتدي ثوبًا أزرق تقف في حشد من الناس.
"""The back of a lady wearing a blue halter top is shown , a crowd in the distance .""","""يظهر الجزء الخلفي من سيدة ترتدي قمة الرسن الأزرق ، حشد من المسافة."""
A boy with his mouth open and tongue sticking out clinging to a bar next to a platform .,صبي مع فمه مفتوح واللسان يتشبث بالبار بجوار المنصة.
A chidl climbs a latter as he sticks out his tongue .,يتسلق Chidl الأخير وهو يخرج لسانه.
A small boy climbing a backyard play set .,صبي صغير يتسلق مجموعة لعب في الفناء الخلفي.
A young boy with his tongue stuck out is climbing onto a wooden platform .,صبي صغير مع لسانه عالق هو التسلق على منصة خشبية.
The boy is climbing .,الصبي يتسلق.
A black and tan dog in the snow,كلب أسود وتان في الثلج
A Brown furry husky dog sticking out his tongue .,كلب أجش بني فروي يخرج لسانه.
A dog wearing a blue harness stands in the snow and pants .,كلب يرتدي تسخيرًا أزرق يقف في الثلج والسراويل.
A Husky dog wearing green straps is turning its head away from the object in front of it .,كلب أجش يرتدي الأشرطة الخضراء يدير رأسه بعيدًا عن الكائن أمامه.
A husky dog wearing the gear to pull a sled .,كلب أجش يرتدي العتاد لسحب الزلاجات.
A group of dogs pull a person on a dog sled up a hill .,مجموعة من الكلاب تسحب شخصًا على كلب يزلج على تل.
Dogsled rider pulled past flags on snowy hill .,سحب كلاب رايدر الأعلام السابقة على تل ثلجي.
Dogs pulling a sled in a sled race .,الكلاب تسحب زلاجة في سباق الزلاجات.
"""Five sled dogs are pulling a person on a sled , through the snow .""","""خمسة كلاب مزلقة تقوم بسحب شخص على مزلقة ، عبر الثلج."""
The man is mushing his dogs on a snow trail,الرجل يمرح كلابه على طريق الثلج
A boy sitting in water .,فتى يجلس في الماء.
A small boy is sitting in the water and water is splashing up through his legs .,صبي صغير يجلس في الماء والماء ينفجر من خلال ساقيه.
A young boy in a swimming suit sits in water .,صبي صغير يرتدي بدلة سباحة يجلس في الماء.
A young boy sitting on a water jet in a pool .,صبي صغير يجلس على طائرة مائية في حمام سباحة.
Little boy sitting in water with a fountain coming up through his lap .,صبي صغير يجلس في الماء مع نافورة تأتي من خلال حضنه.
A snow dog in a red harness .,كلب ثلج في حمراء حمراء.
A white dog and a brown dog attached by harnesses .,كلب أبيض وكلب بني متصل بالمتسوجات.
A white dog with red straps on it is looking back .,كلب أبيض مع أحزمة حمراء على ذلك هو النظر إلى الوراء.
The dog has red straps in its back .,الكلب لديه أحزمة حمراء في ظهره.
The dogs are joined together with a red harness .,يتم ضم الكلاب مع تسخير أحمر.
A black and a white dog on the snow .,كلب أسود وأبيض على الثلج.
A black dog and a white dog are standing on snow .,كلب أسود وكلب أبيض يقفان على الثلج.
"""Two dogs , one black and one white , face the camera in a field of snow .""","""يواجه كلابان ، أحدهما أبيض وأبيض ، الكاميرا في حقل من الثلج."""
Two dogs standing in the snow .,كلابان يقفان في الثلج.
two dogs stand in the snow .,يقف كلابان في الثلج.
A big brown dog is jumping in the water and has his mouth wide open .,كلب بني كبير يقفز في الماء ويحمل فمه مفتوحًا على مصراعيه.
A brown dog barks over its shoulder in the water .,كلب بني ينبح فوق كتفه في الماء.
A dog jumping in the water at a beack .,كلب يقفز في الماء في بليدة.
A dog runs through the water as he looks up at the sky with his mouth open .,يمر كلب عبر الماء وهو ينظر إلى السماء مع فتح فمه.
A dog with a collar running through the water,كلب مع طوق يمر عبر الماء
a brown dog is leaping into a garden swimming pool .,يقفز كلب بني في حمام سباحة حديقة.
A brown dog leaps into a swimming pool .,يقفز كلب بني إلى حمام سباحة.
"""A brown , fluffy dog jumping into a swimming pool after a red toy .""","""كلب بني رقيق يقفز إلى حمام سباحة بعد لعبة حمراء."""
A dog jumps into a swimming pool after a toy .,يقفز كلب إلى حمام سباحة بعد لعبة.
A dog takes a leap of faith as he jumps into a pool to grab an orange toy .,يأخذ الكلب قفزة من الإيمان وهو يقفز إلى حمام سباحة للاستيلاء على لعبة برتقالية.
A dog jumps for a red ball on the grass .,كلب يقفز إلى كرة حمراء على العشب.
A white dog is jumping in the air attempting to catch a red ball .,كلب أبيض يقفز في الهواء وهو يحاول التقاط كرة حمراء.
A white dog jumping to catch a red ball .,كلب أبيض يقفز للقبض على كرة حمراء.
A white dog with a blue collar plays with a red ball .,كلب أبيض مع طوق أزرق يلعب مع كرة حمراء.
The dog is playing with a red ball .,الكلب يلعب مع كرة حمراء.
A boy jumps from one picnic table to another .,صبي يقفز من طاولة نزهة إلى أخرى.
A boy jumps from one table to another at a park .,صبي يقفز من طاولة إلى أخرى في حديقة.
A child is walking from one picnic table to another .,طفل يسير من طاولة نزهة إلى أخرى.
A young boy is running on picnic tables at a park .,صبي صغير يركض على طاولات النزهة في حديقة.
The boy hops from one picnic table to the other in the park .,القفزات من طاولة نزهة إلى أخرى في الحديقة.
A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk .,تربط امرأة بجانب كلبها الجذاب لتبتسم على فتاة صغيرة تجلس على الرصيف.
A woman in a red top and a small dog talks to a young girl .,امرأة في قمة حمراء وكلب صغير يتحدث إلى فتاة صغيرة.
A woman showing a small dog to an infant,امرأة تظهر كلبًا صغيرًا للطفل
A woman squatting to face a small child while holding a dog .,امرأة تقلص لمواجهة طفل صغير أثناء حمله كلبًا.
a woman with a brown dog is talking to a toddler who is sat on the ground .,تتحدث امرأة مع كلب بني إلى طفل صغير جلس على الأرض.
A female artist showing her painting and signing a paper .,فنان أنثى يظهر رسمها وتوقيع ورقة.
A man on a phone and woman sitting near a painting .,رجل على الهاتف وامرأة جالسة بالقرب من لوحة.
A woman drawing portrait while a man on a cellphone watches .,امرأة ترسم صورة بينما رجل على الهاتف المحمول يراقب.
A woman writing on a notepad near a portrait outdoors,امرأة تكتب على مفكرة بالقرب من صورة في الهواء الطلق
"""Standing man on phone with seated woman writing , near artist 's outdoor display .""","""رجل يقف على الهاتف مع امرأة جالسة ، بالقرب من العرض في الهواء الطلق للفنان."""
A girl dressed in a red and black top with black pants is sitting on a wall .,فتاة ترتدي قمة حمراء وسوداء مع سراويل سوداء تجلس على الحائط.
A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant .,فتاة في قميص مخطط أحمر وأسود تجلس على جدار من الطوب أمام نبات استوائي.
A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden .,فتاة ترتدي قميصًا مخططًا أحمر وأسودًا تجلس على جدار من الطوب بالقرب من حديقة الزهور.
A lady in a red and black striped shirt is sitting on a retaining wall .,سيدة في قميص مخطط أحمر وأسود تجلس على جدار محتجز.
A woman in semi-formal attire is sitting on a concrete wall .,امرأة في ملابس شبه رسمية تجلس على جدار خرساني.
"""A crowd of people are standing together on a sidewalk , while one man is taking a picture .""","""حشد من الناس يقفون معًا على الرصيف ، بينما يلتقط رجل صورة""."
A guy in a blue sweatshirt taking a picture .,رجل في قميص من النوع الثقيل الأزرق يلتقط صورة.
A man in a blue sweatshirt taking a picture,رجل يرتدي قميصًا أزرقًا يلتقط صورة
A person in a crowd views an electronic device .,شخص في الحشد ينظر إلى جهاز إلكتروني.
A person in jeans and a blue sweatshirt aims a camera while standing near a crowd of people .,شخص ما في جينز وبلوز زرقاء يهدف كاميرا بينما يقف بالقرب من حشد من الناس.
"""A crowd of people look at something out of frame , one man takes a picture .""","""حشد من الناس ينظرون إلى شيء ما خارج الإطار ، رجل واحد يلتقط صورة."""
A group of people stop to look at something while one takes a picture .,تتوقف مجموعة من الناس للنظر في شيء بينما يلتقط المرء صورة.
"""A woman with a shopping bag labeled """" sale """" stands in a crowd next to a young man with a camera .""","""امرأة مع حقيبة تسوق تحمل اسم"" بيع """" تقف في حشد من شاب مع كاميرا. """
The man is taking a picture while the crowd gathers .,الرجل يلتقط صورة بينما يجمع الحشد.
The woman in glasses is holding a red and white sale bag .,المرأة في النظارات تحمل حقيبة بيع حمراء وبيضاء.
A backpacker in the mountains wearing an american flag .,الرحال في الجبال يرتدي العلم الأمريكي.
A hiker carring an American flag .,يتنزه يحمل العلم الأمريكي.
A hiker with an American flag on his backpack walks through the woods .,يتنزه مع علم أمريكي على ظهره يسير عبر الغابة.
A man is hiking on a mountain path with an American flag on his backpack .,رجل المشي لمسافات طويلة على مسار جبلي مع علم أمريكي على ظهره.
A person hikes on a mountain .,شخص يرفع على جبل.
A child is being swung by her arms while another child watches .,يتم تأرجح الطفل بذراعيها بينما يراقب طفل آخر.
A child is sprawled underneath a blanket in midair .,يمتد الطفل تحت بطانية في الجو.
A little girl in a sweater is swung around by an unseen hand .,تتأرجح فتاة صغيرة في سترة بيد غير مرئية.
A young child is swung by his or her hands while another child sits on grass watching .,يتم تأرجح طفل صغير بيديه بينما يجلس طفل آخر على مشاهدة العشب.
The little girl is being swung around by her arms .,الفتاة الصغيرة تتأرجح بذراعيها.
A girl sits on a bar stool .,فتاة تجلس على البراز البار.
A girl sitting in a dark bar .,فتاة جالسة في بار مظلم.
a woman sits at a dark bar .,تجلس امرأة في حانة مظلمة.
Dark nightclub with chairs .,ملهى ليلي مظلم مع كراسي.
"""There a several people in a dark bar-type room , including one girl on a stool .""","""هناك عدة أشخاص في غرفة مظلمة من نوع البار ، بما في ذلك فتاة واحدة على البراز."""
A blonde boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake .,صبي شقراء يرتدي سترة حياة زرقاء وسروال كامو يقفز من لوح غوص إلى بحيرة زرقاء.
A boy diving backward off a pier in a large lake .,صبي يغوص للخلف من رصيف في بحيرة كبيرة.
A boy in a blue life jacket jumps into the water .,صبي في سترة النجاة الزرقاء يقفز إلى الماء.
A boy in a blue life jacket jumps off a board into the lake .,صبي في سترة النجاة الزرقاء يقفز من لوح إلى البحيرة.
A boy is holding his nose and jumping off a diving board backwards into a lake .,صبي يمسك أنفه ويقفز من لوحة الغوص للخلف في بحيرة.
a asian man gives an evil eye to the camera .,رجل آسيوي يعطي عين شريرة للكاميرا.
A man in a suit holds his cellphone in the air .,رجل يرتدي بدلة يحمل هاتفه المحمول في الهواء.
A serious looking young man with a suit holds a cellphone .,شاب جاد المظهر يرتدي بدلة يحمل هاتفًا محمولًا.
A young Asian man is looking at his cellphone .,شاب آسيوي ينظر إلى هاتفه المحمول.
Man in suit is using his cellphone while sitting on a train .,رجل يرتدي بدلة يستخدم هاتفه المحمول أثناء الجلوس في القطار.
A boy in swimming trunks .,صبي في جذوع السباحة.
A toddler in blue shorts is laying face down on the wet ground .,طفل صغير في السراويل الزرقاء يضع وجهه لأسفل على الأرض الرطبة.
A young boy laying face down in water .,صبي صغير يضع وجهه في الماء.
"""Boy in shorts , face down in shallow , reflective water .""","""الصبي في السراويل القصيرة ، مواجهة لأسفل في مياه ضحلة عاكسة."""
The boy in swim trunks is laying face down on a watery pavement .,يضع الصبي في جذوع السباحة وجهًا لأسفل على رصيف مائي.
"""Three boys in baggy bathing suits play in splashing water in front a of grey , block wall .""","""ثلاثة أولاد يرتدون بدلات الاستحمام الفضفاضة يلعبون في الماء الرش في المقدمة من جدار بلوك رمادي."""
three boys in size order getting wet next to a wall,ثلاثة أولاد في الحجم يرتدون رطبًا بجوار الحائط
Three boys play in a spray of water .,ثلاثة أولاد يلعبون في رذاذ من الماء.
Three boys playing in some water .,ثلاثة أولاد يلعبون في بعض الماء.
Three shirtless boys are playing in the water .,ثلاثة أولاد بدون قميص يلعبون في الماء.
a boy in a blue shirt with dirt on his face,صبي في قميص أزرق مع الأوساخ على وجهه
A boy with a dirty face smiles .,صبي مع وجه قذر يبتسم.
A child with a dirty face looks at the camera and smiles .,طفل ذو وجه قذر ينظر إلى الكاميرا ويبتسم.
"""Blond child with dirty face holding yellow bottle with red cap , plants in background .""","""طفل أشقر مع وجه قذر يحمل زجاجة أصفر مع غطاء أحمر ، نباتات في الخلفية."""
The boy has blonde hair and a dirty face .,الصبي لديه شعر أشقر ووجه قذر.
A girl in a red and black leotard with white writing is standing next to a man in a cap and a girl in a hot pink and black and white checkered outfit .,تقف فتاة في يوتار أحمر وأسود مع كتابة بيضاء بجانب رجل في قبعة وفتاة في ملابس وردية اللون والأبيض والأسود.
A man has his arms around two women who are posing for a picture with him .,الرجل لديه ذراعيه حول امرأتين تتظاهرون به صورة معه.
A man with a backpack and cap posing with two girls dressed in tight uniforms .,رجل يحمل حقيبة تحمل على الظهر وقبعة مع فتاتين يرتدون زيًا ضيقًا.
Two blonde models pose with a man under an umbrella .,طرازان شقراء يطرحان مع رجل تحت مظلة.
Two woman posing with a guy .,امرأة تتظاهر مع رجل.
A man hanging from bars outdoors,رجل يتسكع من الحانات في الهواء الطلق
A man hangs onto the monkey bars at a jungle gym .,رجل معلق على حانات القرد في صالة الألعاب الرياضية الغاب.
A man holding onto a jungle gym ladder .,رجل يمسك بسلم صالة الألعاب الرياضية.
A man in warm clothes swinging on monkey bars at night .,رجل يرتدي ملابس دافئة يتأرجح على حانات القرد في الليل.
A man swinging on the monkey bars,رجل يتأرجح على قضبان القرد
A baby boy wearing a shoulder life saver is at the very edge of an orange pool slide .,طفل رضيع يرتدي مدخرات حياة الكتف على حافة شريحة بركة البرتقال.
A little boy has gown down an orange slide .,صبي صغير لديه ثوب أسفل شريحة برتقالية.
A small boy in water wings and a bathing suit slides down a water slide .,صبي صغير في أجنحة المياه وذوبان السباحة ينزلق أسفل شريحة ماء.
"""A very young boy sliding down a slide into a swimming pool , wearing blue floaties .""","""صبي صغير للغاية ينزلق إلى أسفل في حمام سباحة ، يرتدي عوامات زرقاء."""
The small boy is sliding down a pool slide and is about to hit the water .,الصبي الصغير ينزلق أسفل شريحة حمام السباحة وهو على وشك ضرب الماء.
A girl poses on the train tracks near a station,فتاة تطرح على مسارات القطار بالقرب من محطة
A woman wearing a green shirt stands on the railroad tracks .,امرأة ترتدي قميصًا أخضر تقف على مسارات السكك الحديدية.
A young female in a green tank top and shorts standing in the middle of the railroad tracks .,أنثى شابة في قمة دبابة خضراء وسراويل قصيرة تقف في منتصف مسارات السكك الحديدية.
Girl with green tank top standing in the middle of a train track with multicolor train cars to the right .,فتاة مع قمة الخزان الأخضر تقف في منتصف مسار القطار مع سيارات قطار متعددة الألوان إلى اليمين.
The girl with the green tank top and grey shorts is standing in the middle of the empty railroad track .,الفتاة ذات أعلى الخزان الأخضر والقصيرة الرمادية تقف في منتصف مسار السكك الحديدية الفارغة.
A girl in a tank top and jean capris stands on railroad tracks .,فتاة في قمة دبابة وجان كابريس تقف على مسارات السكك الحديدية.
A girl is standing barefoot on the railroad tracks,فتاة تقف حافي القدمين على مسارات السكك الحديدية
a girl stands in the train tracks .,فتاة تقف في مسارات القطار.
A young woman in jeans and a tank top standing on railroad tracks .,امرأة شابة في جينز وقمة دبابة تقف على مسارات السكك الحديدية.
Girl is standing out on the train tracks .,الفتاة تقف على مسارات القطار.
A dark haired bearded man wearing a turquoise shirt with a yellow peace sign on it .,رجل ملتحي ذو الشعر الداكن يرتدي قميصًا فيروز مع علامة سلام صفراء عليه.
A man wearing a peace sign on his shirt smiles .,رجل يرتدي علامة سلام على قميصه يبتسم.
A man with a peace sign shirt stops to look at something .,رجل لديه قميص علامة السلام يتوقف عن النظر إلى شيء ما.
A smiling bearded man wears a shirt with an orange peace sign,يرتدي رجل ملتحي مبتسم قميصًا مع علامة سلام برتقالية
The T-shirt worn by the man has a bright orange peace symbol on the back .,القميص الذي يرتديه الرجل لديه رمز سلام برتقالي مشرق على ظهره.
A man in a feather hat looking down .,رجل في قبعة ريشة ينظر إلى أسفل.
A person wears a headdress and sunglasses .,الشخص يرتدي غطاء الرأس والنظارات الشمسية.
A woman in a floral print dress and a shaved head at a store .,امرأة ترتدي ثوب طباعة الأزهار ورأس حلق في متجر.
A woman with a crazy hairdo is shopping outside .,امرأة مع تسريحة شعر مجنونة تتسوق في الخارج.
The person wearing earrings is wearing a feathered hat .,الشخص الذي يرتدي الأقراط يرتدي قبعة ريشة.
The two dogs are running through a field of flowers .,الكلاب يركضان من خلال حقل من الزهور.
Two dogs are running through a field of pink flowers .,يركض كلابان عبر حقل من الزهور الوردية.
Two dogs bound over a flower-covered hill .,اثنين من الكلاب ملزمة على تل مغطى بالزهور.
Two dogs playing in a misty field filled with purple flowers,كلبان يلعبان في حقل ضبابي مليء بالزهور الأرجواني
Two gray dogs run through a field of pink heather .,اثنين من الكلاب الرمادية يركضان عبر حقل من هيذر الوردي.
Two children on surfboards wave to each other .,طفلان على ألواح التزلج على الأمواج على بعضهما البعض.
Two children prepare to high-five while participating in water sports .,يستعد طفلان لخمسة أضعاف أثناء المشاركة في الرياضات المائية.
Two kids on wake-boards attempt to give one another a high-five .,يحاول طفلان على لوحات الاستيقاظ إعطاء بعضهما البعض خمسة.
Two kids wakeboarding simultaneously decide to signal for a high five .,يقرر طفلان في وقت واحد الإشارة إلى خمسة.
